batch_size,clip_range,collision_fine,cut_count,cut_size,diff_dist_not_fine,diff_dist_reward,dir_to_target_reward,dist_reward,ent_coef,gae_lambda,gamma,image_shape,lateral_speed_reward,learning_rate,max_grad_norm,max_step_fine,max_steps,n_epochs,n_steps,pad_shift,salt_pepper,stall_fine,stall_speed,stall_steps,step_length,target,target_reward,total_timesteps,vf_coef,vx,vy,vz
256.0,0.2,20.0,3.0,15.0,0.02,1.5,0.3,-0.01,0.01,0.95,0.99,"(128, 128, 1)",0.015,0.0003,0.5,5.0,500.0,10.0,2048.0,6.0,0.01,10.0,0.05,30.0,0.25,"(100.0, 0.0, -5.0)",30.0,100000.0,0.5,2.5,2.5,1.0
256.0,0.2,20.0,,,0.02,1.5,0.3,-0.01,0.01,0.95,0.99,"(128, 128, 1)",0.015,0.0003,0.5,5.0,500.0,10.0,2048.0,,,10.0,0.05,30.0,0.25,"(100.0, 0.0, -5.0)",30.0,100000.0,0.5,2.5,2.5,1.0
